anime_id,title,type,source,episodes,duration_min,score,studio,genre,start,finish
5539,Blassreiter: Navi,Special,Original,1,18.0,6.46,Gonzo,"Action, Sci-Fi",2008-06-22,2008-06-22
23293,Lupin the IIIrd: Jigen Daisuke no Bohyou,Movie,Manga,1,51.0,7.9,TMS Entertainment,"Action, Adventure, Comedy, Drama, Seinen",2014-06-21,2014-06-21
16782,Kotonoha no Niwa,Movie,Original,1,46.0,8.27,CoMix Wave Films,"Slice of Life, Psychological, Drama, Romance",2013-05-31,2013-05-31
2754,Cleopatra D.C.,OVA,Manga,3,37.0,6.0,J.C.Staff,"Action, Adventure, Sci-Fi",1989-04-28,1991-05-24
22297,Fate/stay night: Unlimited Blade Works,TV,Visual novel,12,28.0,8.34,ufotable,"Action, Supernatural, Magic, Fantasy",2014-10-12,2014-12-28
4744,Akaneiro ni Somaru Saka,TV,Visual novel,12,25.0,6.62,TNK,"Harem, Comedy, Romance, Ecchi, School",2008-10-03,2008-12-19
30740,Young Black Jack,TV,Manga,12,24.0,7.29,Tezuka Productions,"Historical, Drama, Seinen",2015-10-02,2015-12-18
2028,Zettai Muteki Raijin-Oh (1992),OVA,Original,4,29.0,6.54,Sunrise,"Sci-Fi, Mecha, Shounen",1992-09-30,1993-02-24
36827,Tantei Opera Milky Holmes: Arsene Karei naru Yokubou,Special,Card game,1,23.0,6.67,J.C.Staff,"Comedy, Mystery, Super Power",2017-12-31,2017-12-31
32566,Noblesse: Pamyeol-ui Sijak,OVA,Web manga,1,37.0,7.55,Studio Animal,"Action, Adventure, Supernatural",2015-12-04,2015-12-04
26243,Owari no Seraph,TV,Manga,12,23.0,7.63,Wit Studio,"Action, Military, Supernatural, Drama, Vampire, Shounen",2015-04-04,2015-06-20
1689,Byousoku 5 Centimeter,Movie,Original,3,22.0,7.95,CoMix Wave Films,"Drama, Romance, Slice of Life",2007-03-03,2007-03-03
16049,Toaru Kagaku no Railgun S,TV,Manga,24,24.0,8.12,J.C.Staff,"Action, Sci-Fi, Super Power",2013-04-12,2013-09-27
11553,Toradora!: Bentou no Gokui,Special,Light novel,1,27.0,7.52,J.C.Staff,"Slice of Life, Comedy, Romance, School",2011-12-21,2011-12-21
35714,Yami Shibai 5,TV,Original,13,4.0,6.22,ILCA,"Dementia, Horror, Supernatural",2017-07-03,2017-10-02
1764,Slam Dunk (Movie),Movie,Manga,1,30.0,7.45,Toei Animation,"Comedy, Drama, School, Shounen, Slice of Life, Sports",1994-03-12,1994-03-12
1208,Tatsu no Ko Tarou,Movie,Novel,1,75.0,6.96,Toei Animation,"Adventure, Fantasy, Demons, Historical",1979-03-17,1979-03-17
1121,Pokemon Advanced Generation: Nanayo no Negaiboshi Jirachi,Movie,Game,1,81.0,6.9,OLM,"Adventure, Comedy, Drama, Fantasy, Kids",2003-07-19,2003-07-19
33181,Nijiiro Days OVA,OVA,Manga,1,22.0,7.15,Production Reed,"Comedy, Romance, School, Shoujo, Slice of Life",2016-09-23,2016-09-23
21495,Denpa Kyoushi,Special,Manga,2,1.0,6.49,A-1 Pictures,"Comedy, School, Shounen",2012-10-02,2013-02-17
8216,Aa Harimanada,TV,Manga,23,24.0,6.18,E&amp;G Films,"Sports, Martial Arts, Seinen",1992-04-23,1992-10-01
11615,Morita-san wa Mukuchi. 2,TV,4-koma manga,13,3.0,6.76,Seven,"Comedy, School, Slice of Life",2011-10-05,2011-12-28
3887,Ookiku Furikabutte Special,Special,Manga,1,24.0,7.33,A-1 Pictures,"Drama, Sports",2008-02-27,2008-02-27
9426,Pururun! Shizuku-chan,TV,Manga,51,24.0,5.83,TMS Entertainment,"Comedy, Kids",2006-10-07,2007-09-29
36456,Boku no Hero Academia 3rd Season,TV,Manga,25,23.0,8.75,Bones,"Action, Comedy, School, Shounen, Super Power",2018-04-07,
1163,Neo Ranga,TV,Original,48,15.0,6.53,Studio Pierrot,"Adventure, Horror, Mecha",1998-04-06,1999-09-28
18499,Yozakura Quartet: Tsuki ni Naku,OVA,Manga,3,28.0,7.59,Tatsunoko Production,"Action, Magic, Comedy, Super Power, Supernatural, Shounen",2013-10-09,2014-11-07
415,Tonari no Yamada-kun,Movie,4-koma manga,1,104.0,7.32,Studio Ghibli,"Slice of Life, Comedy",1999-07-17,1999-07-17
36991,Lupin III 3DCG,Special,Manga,1,2.0,6.22,Marza Animation Planet,"Action, Thriller",2012-03-28,2012-03-28
3222,Kiddy Grade: Maelstrom,Movie,Original,1,95.0,7.24,"Gonzo, Asread","Action, Mecha, Sci-Fi, Super Power",2007-06-23,2007-06-23
3371,Ginga Eiyuu Densetsu Gaiden,OVA,Novel,24,26.0,8.17,Artland,"Action, Military, Sci-Fi, Space",1998-02-09,1998-09-26
1204,Kujira no Chouyaku,Movie,Original,1,22.0,6.74,Tamura Shigeru Studio,"Drama, Fantasy, Kids",1998-11-14,1998-11-14
9706,Canaan: Minorikawa Report 201X Shanghai,Special,Visual novel,1,13.0,6.71,P.A. Works,"Action, Seinen",2010-02-26,2010-02-26
1092,Mobile Suit Gundam III: Encounters in Space,Movie,Original,1,140.0,7.85,Sunrise,"Action, Military, Sci-Fi, Adventure, Space, Drama, Mecha",1982-03-13,1982-03-13
35062,Mahoutsukai no Yome,TV,Manga,24,24.0,8.3,Wit Studio,"Slice of Life, Fantasy, Magic, Shounen",2017-10-08,2018-03-25
4195,Kodomo no Jikan: Ni Gakki,OVA,Manga,3,23.0,7.25,Diomedea,"Comedy, Ecchi, School",2009-02-20,2009-07-24
127,Gate Keepers,TV,Game,24,25.0,7.04,Gonzo,"Action, Comedy, Fantasy, Mecha, Sci-Fi, Shounen",2000-04-03,2000-09-18
31967,Dog Days&#039;&#039;: Gravure Talk,Special,Original,4,1.0,6.48,Seven Arcs Pictures,"Comedy, Fantasy",2015-08-26,2015-08-26
31156,"Kuusen Madoushi Kouhosei no Kyoukan: Lecty no, Ikimonogatari",OVA,Light novel,1,23.0,6.48,Diomedea,"Action, Drama, Magic, Fantasy, School",2016-03-09,2016-03-09
1199,Nintama Rantarou,TV,Manga,0,10.0,7.12,Ajia-Do,"Comedy, Kids",1993-04-10,
9332,.hack//Quantum,OVA,Original,3,26.0,7.29,Kinema Citrus,"Action, Adventure, Fantasy, Game, Sci-Fi",2011-01-28,2011-04-07
14293,Nerawareta Gakuen,Movie,Novel,1,106.0,7.18,Sunrise,"Sci-Fi, Romance, School",2012-10-19,2012-10-19
24681,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone Specials,Special,Novel,2,45.0,6.22,Nippon Animation,"Slice of Life, Adventure, Historical, Drama",,
2080,Majokko Club Yoningumi: A Kuukan kara no Alien X,OVA,Original,1,27.0,5.8,Studio Pierrot,"Action, Parody, Magic, Comedy, Sci-Fi",1987-07-28,1987-07-28
30363,Shinmai Maou no Testament Burst,TV,Light novel,10,23.0,7.14,Production IMS,"Action, Harem, Demons, Romance, Ecchi, Fantasy",2015-10-10,2015-12-12
909,Geneshaft,TV,Original,13,23.0,6.45,Satelight,"Adventure, Mecha, Sci-Fi, Space",2001-04-05,2001-06-28
6119,Cookin&#039; Idol Ai! Mai! Main!,TV,Original,305,6.0,6.41,Studio Deen,"Comedy, Kids",2009-03-30,2013-03-22
35789,Yowamushi Pedal: Glory Line,TV,Manga,25,23.0,7.86,TMS Entertainment,"Comedy, Drama, Shounen, Sports",2018-01-09,
37172,Nanatsu no Bitoku Specials,Special,Other,2,5.0,5.98,Bridge,"Ecchi, Fantasy",2018-04-27,2018-04-27
707,Comic Party Specials,Special,Visual novel,4,7.0,6.51,OLM,"Comedy, Drama",2003-01-13,2003-01-13
36652,Piano no Mori (TV),TV,Manga,12,25.0,7.19,Fukushima Gainax,"Adventure, Music, Comedy, Drama, School, Seinen",2018-04-09,
2103,TO-Y,OVA,Manga,1,55.0,6.33,Studio Gallop,"Drama, Music, Shounen",1987-10-01,1987-10-01
3859,Top Secret: The Revelation,TV,Manga,26,22.0,7.38,Madhouse,"Sci-Fi, Mystery, Police, Psychological, Shoujo",2008-04-09,2008-10-01
7768,Tantei Opera Milky Holmes,TV,Card game,12,24.0,7.0,J.C.Staff,"Comedy, Super Power, Mystery",2010-10-07,2010-12-23
14827,D.C.III: Da Capo III,TV,Visual novel,13,23.0,6.71,Kazami Gakuen Koushiki Douga-bu,"Ecchi, Romance, School, Drama",2013-01-05,2013-03-30
13517,Ryuugajou Nanana no Maizoukin,Special,Light novel,1,2.0,6.65,A-1 Pictures,"Comedy, Supernatural",2011-12-26,2011-12-26
10389,Momo e no Tegami,Movie,Original,1,120.0,7.73,Production I.G,"Supernatural, Drama",2011-09-10,2011-09-10
6377,Zan Sayonara Zetsubou Sensei,TV,Manga,13,23.0,7.97,Shaft,"Parody, Comedy, School",2009-07-05,2009-09-27
32956,Aware! Meisaku-kun,TV,Original,0,5.0,4.14,Pie in The Sky,"Comedy, Parody, Kids, School",2016-04-08,
5753,Precure All Stars Movie DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou!,Movie,Original,1,70.0,7.39,Toei Animation,"Action, Fantasy, Magic, Shoujo",2009-03-20,2009-03-20
600,Legend of Duo,TV,Original,12,5.0,5.05,"Radix, Marine Entertainment","Supernatural, Drama, Vampire, Shounen Ai",2005-04-21,2005-06-27
14513,Magi: The Labyrinth of Magic,TV,Manga,25,24.0,8.21,A-1 Pictures,"Action, Adventure, Fantasy, Magic, Shounen",2012-10-07,2013-03-31
2952,Final Fantasy VII: Advent Children Complete,OVA,Game,1,126.0,8.09,Square Enix,"Action, Fantasy, Super Power",2009-04-16,2009-04-16
33391,Red Ash: Gearworld,Movie,Game,1,23.0,5.7,Studio 4°C,"Action, Sci-Fi",2017-03-11,2017-03-11
24417,Maido! Urayasu Tekkin Kazoku,TV,Manga,25,3.0,6.17,Studio Deen,"Comedy, Shounen",2014-07-06,2014-12-28
36894,Inazma Delivery: Dougyousha Attack-hen,TV,Original,10,2.0,4.93,Kanaban Graphics,"Action, Sci-Fi, Comedy",2017-12-08,2018-03-02
25967,Backkom Sports,TV,Original,52,3.0,6.03,RG Animation Studios,"Comedy, Kids, Sports",,
3035,Chouon Senshi Borgman,TV,Other,35,24.0,6.53,"Production Reed, Asahi Production","Action, Sci-Fi, Demons",1988-04-13,1988-12-21
7580,Ikkitousen: Xtreme Xecutor,TV,Manga,12,24.0,6.9,"Arms, TNK","Action, Ecchi, Martial Arts, School, Super Power",2010-03-26,2010-06-11
2391,SD Gundam Force,TV,Original,52,25.0,5.49,Sunrise,"Adventure, Comedy, Fantasy, Mecha",2004-01-07,2004-12-29
19873,Marude Dameo,TV,Manga,47,25.0,6.44,Studio Pierrot,"Comedy, Sci-Fi, Shounen",1991-11-02,1992-09-26
4028,Slayers Revolution,TV,Light novel,13,23.0,7.35,J.C.Staff,"Adventure, Comedy, Fantasy",2008-07-03,2008-09-25
33122,Pâtisserie no Monster,ONA,Picture book,4,1.0,4.76,dwarf,Slice of Life,2016-04-26,2016-07-28
34474,Tsukipro The Animation,TV,Music,13,23.0,6.72,PRA,Music,2017-10-04,2017-12-27
31098,Ushio to Tora (TV) 2nd Season,TV,Manga,13,24.0,8.06,MAPPA,"Action, Adventure, Comedy, Demons, Supernatural, Shounen",2016-04-01,2016-06-24
8876,Koe de Oshigoto! The Animation,OVA,Manga,2,30.0,7.05,Studio Gokumi,"Comedy, Ecchi, Seinen",2010-11-17,2011-05-11
33035,"Yuyushiki: Komarasetari, Komarasaretari",OVA,4-koma manga,1,27.0,7.4,Kinema Citrus,"Slice of Life, Comedy, School",2017-02-22,2017-02-22
34602,Guomin Laogong Dai Huijia,ONA,Novel,12,11.0,6.23,G.CMay Animation &amp; Film,"Drama, Romance, School",2016-10-03,2016-12-12
16706,Kami nomi zo Shiru Sekai: Megami-hen,TV,Manga,12,24.0,8.22,Manglobe,"Harem, Comedy, Supernatural, Romance, Shounen",2013-07-09,2013-09-24
2382,Firestorm,TV,Original,26,25.0,5.83,Trans Arts,"Action, Military, Sci-Fi, Adventure, Mecha",2003-04-06,2003-09-28
189,Love Hina,TV,Manga,24,23.0,7.24,Xebec,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",2000-04-19,2000-09-27
1441,Ginga Tetsudou no Yoru,Movie,Novel,1,105.0,7.36,Group TAC,"Drama, Fantasy, Historical, Kids, Mystery",1985-07-13,1985-07-13
878,Zegapain,TV,Original,26,23.0,7.42,Sunrise,"Action, Mecha, Romance, Sci-Fi",2006-04-06,2006-09-28
330,Midori no Hibi,TV,Manga,13,24.0,7.39,Studio Pierrot,"Comedy, Drama, Romance, Ecchi, Shounen",2004-04-04,2004-06-27
34300,Quanzhi Fashi,ONA,Novel,12,18.0,7.55,Shanghai Foch Film Culture Investment,"Action, Magic, Fantasy, School",2016-09-02,2016-11-04
3835,Ai no Gakkou Cuore Monogatari,TV,Novel,26,25.0,6.78,Nippon Animation,"Slice of Life, Historical, Drama, School",1981-04-03,1981-09-25
16247,Satsujin Kippu wa Heart-iro,OVA,Novel,1,50.0,5.62,"Nippon Animation, Studio WHO","Mystery, Shoujo",1990-02-03,1990-02-03
31680,Super Lovers,TV,Manga,10,24.0,7.51,Studio Deen,"Slice of Life, Comedy, Drama, Romance, Shounen Ai",2016-04-06,2016-06-08
11693,Match Uri no Shoujo,Movie,Book,1,18.0,6.06,Toei Animation,"Drama, Kids",1971-12-12,1971-12-12
2785,OZ,OVA,Manga,2,35.0,5.52,"Madhouse, Studio Fantasia","Action, Military, Sci-Fi, Drama, Shoujo",1992-08-28,1992-09-25
